id,term,start_date,end_date
F0188,accident insurance,1901,1990
F0206,adoption,1881,
F0105,agricultural pests control,1876,1989
F0323,air force,1937,
F0052,air services (domestic),1945,
F0256,air services (international),1940,
F0053,air services licensing (domestic),1935,1990
F0257,air services licensing (international),1947,
F0291,air traffic management services,1931,
F0312,alcohol regulation,1842,
F0175,anatomy practise regulation,1875,
F0193,animal welfare,1961,
F0237,architects registration,1914,
F0163,archives management,1926,
F0324,army,1845,
F0231,arts education,1877,
F0262,auditing,1840,
F0292,aviation security,1976,
F0061,bankruptcy,1862,
F0063,benefit payments,1898,
F0111,bibliographic services,1950,
F0062,biosecurity,1849,
F0033,"bird sanctuaries, little barrier & resolution islands",1891,1952
F0044,"births, deaths & marriages",1848,
F0076,blood services,1998,
F0002,boilers and machinery,1874,1993
F0169,broadcasting policy,1923,
F0168,broadcasting standards,1962,
F0119,budget and vote appropriations advice and management,1840,
F0006,building societies registration,1851,
F0263,cabinet and executive council support,1856,
F0162,cadastral surveyors licensing,2002,
F0112,career services,1929,
F0202,cemeteries and burial grounds administration,1882,
F0289,chartered professional engineers registration,1924,
F0205,chattels securities registration,1869,2002
F0139,children's health camps,1919,
F0150,chiropractors registration,1961,
F0043,citizenship,1844,
F0294,civil defence and emergency management,1940,
F0241,climate change,2002,
F0101,coal production,1901,
F0274,commemorative events,1841,
F0056,commissioning of war art,1918,
F0045,commissions of inquiry,1867,
F0178,communicable disease control,1869,
F0275,community and voluntary sector relations,1999,
F0003,company registration,1861,
F0079,consular services,1871,
F0212,coroners' inquests,1846,
F0075,correspondence schools,1922,
F0117,crown agency monitoring,1987,
F0115,crown asset management,1840,
F0209,crown spectrum management,1989,
F0042,crown-owned land administration,1840,
F0173,culture and heritage,1865,
F0165,currency issuance,1933,
F0066,dairy factories registration,1908,1991
F0065,dairy factory managers registration,1934,1989
F0293,dairy industry,1892,
F0012,dangerous and explosive goods,1869,
F0325,defence career development,1845,
F0148,dental and clinical dental technicians registration,1988,
F0149,dentist registration,1880,
F0229,deportation,1899,
F0142,dietitians and nutritionists registration,1951,
F0284,disability issues,1999,
F0283,disarmament and arms control,1987,
F0057,dissolution of marriages and civil unions,1868,
F0171,district health boards administration,2000,
F0127,doctors registration,1867,
F0198,drainlayers registration,1976,
F0219,driver licensing,1925,
F0157,drugs regulation,1866,
F0077,early childhood education,1909,
F0116,economic policy advice,1840,
F0094,education qualification standards,1990,
F0093,education reviews,1989,
F0204,electoral boundaries,1852,
F0203,electoral representation (general),1852,
F0050,electoral representation (maori),1867,
F0236,electrical workers registration,1926,
F0054,electricity generation,1911,
F0055,electricity transmission,1911,
F0288,engineering associates registration,1961,
F0240,environmental impact assessment,1972,
F0011,explosives,1847,
F0032,film production,1921,1998
