Access status,Accession,Agency,Alternative no.,Box/Item,Date,Former archives ref,Item ID,Part,Record group,Record no.,Record type,Sep,Series,Title
OPEN ACCESS,,ACGO,,2254 /,no date - no date,IA1,R14991199,,IA1,105/45,Text,,8333,Local Bodies - Chinese sick and wounded fund - Granted by Local Bodies (R14991199)
OPEN ACCESS,,ACGO,,2282 /,no date - no date,IA1,R14992099,,IA1,113/35,Text,,8333,Museum - Chinese curios - Gift from Rewi Alley to Christchurch Museum (R14992099)
RESTRICTED ACCESS,,ACGO,,2821 /,no date - no date,IA1,R19964568,1,IA1,116/2/18,Text,,8333,Chinese citizens naturalised in New Zealand - Lists of (R19964568)
RESTRICTED ACCESS,,ACGO,,2821 /,no date - no date,IA1,R19964569,2,IA1,116/2/18,Text,,8333,Chinese citizens naturalised in New Zealand - Lists of (R19964569)
RESTRICTED ACCESS,,ACGO,,2821 /,no date - no date,IA1,R19964570,3,IA1,116/2/18,Text,,8333,Chinese citizens naturalised in New Zealand - Lists of (R19964570)
RESTRICTED ACCESS,,ACGO,,2821 /,no date - no date,IA1,R19964571,4,IA1,116/2/18,Text,,8333,Chinese citizens naturalised in New Zealand - Lists of (R19964571)
RESTRICTED ACCESS,,ACGO,,1852 /,1958 - 1966,IA1,R12323332,,IA1,116/7,Text,,8333,Naturalisation - Chinese - General question of naturalisation of (R12323332)
OPEN ACCESS,,ACGO,,2825 /,no date - no date,IA1,R19964609,1,IA1,116/7,Text,,8333,Chinese - General question of naturalisation (R19964609)
OPEN ACCESS,,ACGO,,2825 /,no date - no date,IA1,R19964610,2,IA1,116/7,Text,,8333,Chinese - General question of naturalisation (R19964610)
OPEN ACCESS,,ACGO,,2923 /,no date - no date,IA1,R19965940,,IA1,133/4,Text,,8333,Racing - Special permits - Chinese refugee children fund (R19965940)
OPEN ACCESS,,ACGO,,2953 /,no date - no date,IA1,R19966840,,IA1,139/73/48,Text,,8333,Sport - Wellington area officer - Chinese Sports Meeting (R19966840)
OPEN ACCESS,,ACGO,,3011 /,no date - no date,IA1,R19967739,,IA1,158/206/52,Text,,8333,Miscellaneous - Grant - Application for Rewi Alley - Chinese Cooperatives (R19967739)
OPEN ACCESS,,ACGO,,3053 /,no date - no date,IA1,R12323757,,IA1,171/81,Text,,8333,Wartime administrative arrangements - Chinese Consul in New Zealand - Installation of wireless station (R12323757)
OPEN ACCESS,,ACGO,,185 / [16],1857 - 1857,IA1,R24906504,,IA1,1857/1490,Text,,8333,"From: W L Wrey and Others, Nelson Date: 2 October 1857 Subject: Memorial praying that Chinese Immigrants may not be allowed to land in Nelson (R24906504)"
RESTRICTED ACCESS,,ACGO,,221 / [9],1861 - 1861,IA1,R24131932,,IA1,1861/1730,Text,,8333,"From: William Fox, Colonial Secretary, Auckland To: Colonial Secretary, Auckland Date: 2 September 1861 Subject: For opinion of Attorney General as to preventing the Immigration of Chinese to Otago [This document is part of a larger record. To order this document please use the record number in the Additional Archives Description field below.] (R24131932)"
RESTRICTED ACCESS,,ACGO,,381 / [11],1869 - 1869,IA1,R24260289,,IA1,1869/3093,Text,,8333,"From: George McLean, Provincial Secretary in absence of the Superintendent, Dunedin To: Colonial Secretary, Wellington Date: 20 November 1869 Subject: Requesting that Mr Blewett may be reappointed Chinese Interpreter [This document is part of a larger record. To order this document please use the record number in the Additional Archives Description field below.] (R24260289)"
OPEN ACCESS,,ACGO,,341 / [2],1871 - 1871,IA1,R24215961,,IA1,1871/3737,Text,,8333,[Acts regulating and restricting the immigration of Chinese] (R24215961)
OPEN ACCESS,,ACGO,,359 / [36],1872 - 1872,IA1,R24233730,,IA1,1872/3411,Text,,8333,"From: Mr Price, Hokitika To: Colonial Secretary, Wellington Date: 9 December 1872 Subject: For advice relative to voting by Chinese at county council election - Westland[This document is part of a larger record. To order this document please use the record number in the Archives Additional Description field] (R24233730)"
OPEN ACCESS,,ACGO,,354 / [75],1873 - 1873,IA1,R24233380,,IA1,1873/1982,Text,,8333,"From: J C Brown, Lawrence To: G S Cooper, Under Secretary, Wellington Date: 16 June 1873 Subject: Can alien Chinese holding miners rights vote at provincial council election (R24233380)"
OPEN ACCESS,,ACGO,,362 / [44],1874 - 1874,IA1,R24239475,,IA1,1874/960,Text,,8333,"From: J [James] Macandrew, Superintendent, Dunedin To: Colonial Secretary, Wellington Date: 18 April 1874 Subject: Relating to importation of Chinese Convicts to Otago (R24239475)"
OPEN ACCESS,,ACGO,,381 / [11],1876 - 1876,IA1,R24260288,,IA1,1876/1667,Text,,8333,"From: J [James] Macandrew, Superintendent, Otago To: Colonial Secretary, Wellington Date: 13 June 1876 Subject: Chinese Interpreter has been instructed to proceed to Invercargill when required (R24260288)"
OPEN ACCESS,,ACGO,,404 / [37],1877 - 1878,IA1,R24273208,,IA1,1878/665,Text,,8333,"From: P F Neil, Dunedin To: Colonial Secretary, Wellington Date: 18 January 1878 Subject: Forwards copy of correspondence regarding quarantining etc of barque ""Gloucester""[Further papers]- Neill and Company, Dunedin - 26 September 1877 - When may they expect a settlement of their claim for goods destroyed, ex ""Gloucester"" from Honk Kong- Colonial Secretary, Queensland - 7 May 1877 - Acknowledges letter regarding ""Gloucester"" [ship] Vessels arriving at Cooktown from Hong Kong have had small pox on board- Colin Allan, Dunedin - 18 May 1877 - Recommends that Chinese immigrants ex ""Gloucester"" [ship] be admitted to pratique - Hon D Reid, Dunedin - 26 March 1877 - As to making regulations under Public Health Act to prevent spread of disease from ship ""Gloucester"" (R24273208)"
OPEN ACCESS,,ACGO,,449 / [54],1880 - 1880,IA1,R24345573,,IA1,1880/5216,Text,,8333,"From: Chairman Grey County Council, Greymouth Date: 11 December 1880 Subject: Forwarding voucher for £17.3.-, expense of burial of a Chinese leper (R24345573)"
OPEN ACCESS,,ACGO,,457 / [20],1881 - 1881,IA1,R24362566,,IA1,1881/2364,Text,,8333,"From: John I Woods, Treasurer Tuapeka County Council, Lawrence Date: 16 June 1881 Subject: Reporting outbreak of Measles in Chinese Camp near Lawrence (R24362566)"
OPEN ACCESS,,ACGO,,459 / [82],1881 - 1881,IA1,R24362808,,IA1,1881/3127,Text,,8333,"From: Secretary Hospital, Riverton Date: 27 July 1881 Subject: Recommending that Government should provide a Lazaret [Lazarett] in case of outbreak of Small Pox amongst Chinese in District (R24362808)"
